time,Time.Time_sweep,192.168.1.207:5000.T
0.0,1.000e+00,3.003e+02
1.02,1.010e+00,3.003e+02
2.05,1.020e+00,3.003e+02
3.06,1.030e+00,3.003e+02
4.09,1.040e+00,3.003e+02
5.1,1.050e+00,3.003e+02
6.13,1.060e+00,3.003e+02
7.15,1.070e+00,3.003e+02
8.17,1.080e+00,3.003e+02
9.19,1.090e+00,3.003e+02
10.22,1.100e+00,3.003e+02
11.25,1.110e+00,3.003e+02
12.26,1.120e+00,3.003e+02
13.29,1.130e+00,3.003e+02
14.31,1.140e+00,3.003e+02
15.34,1.150e+00,3.003e+02
16.36,1.160e+00,3.003e+02
17.38,1.170e+00,3.003e+02
18.41,1.180e+00,3.003e+02
19.45,1.190e+00,3.003e+02
20.47,1.200e+00,3.003e+02
21.49,1.210e+00,3.003e+02
22.52,1.220e+00,3.003e+02
23.54,1.230e+00,3.003e+02
24.56,1.240e+00,3.003e+02
25.6,1.250e+00,3.003e+02
26.63,1.260e+00,3.003e+02
